Title,RatingTomatometer,No. of Reviews
Fireworks Wednesday (Chaharshanbe-soori) (2016),100,43
Last Train Home (2010),100,54
The Seventh Seal (Det Sjunde inseglet) (1957),93,55
Project Nim (2011),97,141
Monsieur Lazhar (2012),97,117
Mafioso (1964),96,50
Maria Full of Grace (2004),97,144
Hero (2004),95,205
An Education (2009),95,189
Nostalgia for the Light (2011),100,45
Amour (2012),93,214
L'Avventura (1960),95,43
The Look of Silence (2015),96,129
Rivers and Tides: Andy Goldsworthy Working With Time (2002),99,71
Moolaadé (2004),99,73
The Class (2008),95,155
The Man Without a Past (2002),98,98
The Twilight Samurai (Tasogare Seibei) (2004),99,69
The Kid with a Bike (2012),96,128
This Is Not a Film (2012),97,98
Rififi (Du Rififi Chez les Hommes) (1956),94,48
Elle (2016),91,229
District 9 (2009),90,307
"Sex, Lies, and Videotape (1989)",96,47
The Wizard of Oz (1939),98,111
Citizen Kane (1941),100,80
The Third Man (1949),99,78
All About Eve (1950),100,65
It Happened One Night (1934),98,54
Modern Times (1936),100,54
Casablanca (1942),97,77
Singin' in the Rain (1952),100,50
Psycho (1960),97,89
Laura (1944),100,60
A Hard Day's Night (1964),98,106
Repulsion (1965),100,60
North by Northwest (1959),99,72
Sunset Boulevard (1950),98,61
Rear Window (1954),100,64
The Bride of Frankenstein (1935),100,43
The Philadelphia Story (1940),100,56
Touch of Evil (1958),96,74
All Quiet on the Western Front (1930),100,42
12 Angry Men (Twelve Angry Men) (1957),100,50
A Streetcar Named Desire (1951),98,56
Vertigo (1958),96,71
Rebecca (1940),100,51
Rosemary's Baby (1968),99,69
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),99,76
Frankenstein (1931),100,46
On the Waterfront (1954),98,62
The Grapes of Wrath (1940),100,44
The Big Sleep (1946),97,59
Roman Holiday (1953),98,53
The Lady Vanishes (1938),98,41
The Last Picture Show (1971),100,51
Cool Hand Luke (1967),100,49
Chinatown (1974),98,64
Anatomy of a Murder (1959),100,42
Invasion of the Body Snatchers (1956),98,56
Gone With the Wind (1939),92,89
An American in Paris (1951),95,62
The Gold Rush (1925),100,43
The Red Shoes (1948),96,55
Sweet Smell of Success (1957),98,48
To Be or Not to Be (1942),98,42
Mary Poppins (1964),100,48
City Lights (1931),98,45
Miracle on 34th Street (1947),96,47
2001: A Space Odyssey (1968),93,98
His Girl Friday (1940),98,47
It's a Wonderful Life (1946),93,74
Night of the Living Dead (1968),97,64
The Manchurian Candidate (1962),98,54
Gentlemen Prefer Blondes (1953),98,40
Freaks (1932),94,53
The Birth of a Nation (1915),98,40
Forbidden Planet (1956),98,42
The Best Years of Our Lives (1946),96,48
Bringing Up Baby (1938),95,42
Some Like It Hot (1959),96,54
Duck Soup (1933),94,47
Sunrise: A Song of Two Humans (1927),98,51
The Day the Earth Stood Still (1951),94,54
Rebel Without a Cause (1955),96,49
Peeping Tom (1960),96,49
The Apartment (1960),94,62
The Birds (1963),96,52
One Flew Over the Cuckoo's Nest (1975),94,68
Mean Streets (1973),96,53
Don't Look Now (1973),96,53
Lady Bird (2017),99,349
BlacKkKlansman (2018),95,371
The Big Sick (2017),98,274
Eighth Grade (2018),99,232
La La Land (2016),91,414
"Three Billboards Outside Ebbing, Missouri (2017)",91,363
The Death of Stalin (2018),96,228
Crazy Rich Asians (2018),91,304
Monty Python and the Holy Grail (1975),97,73
Paterson (2016),96,241
Sorry to Bother You (2018),93,263
Birdman (2014),91,331
Love & Friendship (2016),97,196
The Disaster Artist (2017),91,307
Annie Hall (1977),97,71
The Artist (2011),95,304
The Nice Guys (2016),92,292
Paddington (2015),98,151
Spy (2015),94,244
Logan Lucky (2017),92,256
Airplane! (1980),97,61
Big (1988),97,74
The Player (1992),98,62
Don't Think Twice (2016),98,131
Monty Python's Life of Brian (1979),97,60
The Grand Budapest Hotel (2014),91,285
Sideways (2004),96,227
The Edge of Seventeen (2016),95,192
Groundhog Day (1993),96,77
What We Do In The Shadows (2015),96,170
Tangerine (2015),97,144
Bull Durham (1988),97,66
Moonrise Kingdom (2012),93,244
Lost In Translation (2003),95,228
Enough Said (2013),95,182
Broadcast News (1987),98,45
The Muppets (2011),95,220
Hannah Gadsby: Nanette (2018),100,44
Repo Man (1984),98,44
The Truman Show (1998),94,125
Le Havre (2011),99,93
Say Anything... (1989),98,43
Hairspray (1988),98,42
